Date,Open,High,Low,Close,Volume
1984-09-07,3.3098297535871,3.3504463601108,3.2698710942197,3.3098297535871,2973600.4452779
1984-09-10,3.3098297535871,3.3199814129939,3.2302513773268,3.2901843819297,2307999.0592183
1984-09-11,3.3199814129939,3.4100271303774,3.3199814129939,3.3504463601108,5442398.7695798
1984-09-12,3.3504463601108,3.3700518561829,3.2495744213369,3.2495744213369,4754399.4978261
1984-09-13,3.4303636788455,3.4401331972272,3.4303636788455,3.4303636788455,7404801.3962942
1984-09-14,3.4401331972272,3.5596934936129,3.4401331972272,3.4798094045325,8816799.6221051
1984-09-17,3.5701940643905,3.6199720866211,3.5701940643905,3.5701940643905,6883999.5302036
1984-09-18,3.5701940643905,3.5996687678074,3.4401331972272,3.4401331972272,3475200.546791
1984-09-19,3.4401331972272,3.4798094045325,3.3700518561829,3.3700518561829,3796000.1821004
1984-09-20,3.3799210635277,3.4100271303774,3.3799210635277,3.3799210635277,2363200.746848
1984-09-21,3.3799210635277,3.4798094045325,3.3098297535871,3.3504463601108,3565598.507826
1984-09-24,3.3504463601108,3.3700518561829,3.3199814129939,3.3199814129939,2821601.2115408
1984-09-25,3.3098297535871,3.3098297535871,3.2495744213369,3.2495744213369,5956800.6894748
1984-09-26,3.2495744213369,3.3995265595998,3.2102703861604,3.2102703861604,3963200.6573109
1984-09-27,3.2102703861604,3.2302513773268,3.2102703861604,3.2102703861604,3783200.0489603
1984-09-28,3.2102703861604,3.2102703861604,3.0701077040718,3.1300373857093,8335999.4059149
1984-10-01,3.1205436734588,3.1205436734588,3.0599626905959,3.0599626905959,3491999.9090101
1984-10-02,3.0799403587968,3.1899737132776,3.0799403587968,3.0799403587968,4223198.7273034
1984-10-03,3.1300373857093,3.1798154079399,3.1300373857093,3.1300373857093,4300800.5576474
1984-10-04,3.1693380979203,3.1899737132776,3.1693380979203,3.1693380979203,4481600.211324
1984-10-05,3.1693380979203,3.1693380979203,3.0799403587968,3.1002337087142,3484800.7369269
1984-10-08,3.1002337087142,3.1205436734588,3.1002337087142,3.1002337087142,1677600.4768756
1984-10-09,3.1002337087142,3.1205436734588,3.0701077040718,3.0701077040718,4473599.6767074
1984-10-10,3.0701077040718,3.0701077040718,2.9797263671793,2.9797263671793,13030399.513485
1984-10-11,2.9797263671793,3.0599626905959,2.9600776725565,2.9600776725565,6527200.1824972
